Date,Open,High,Low,Close,Adj Close,Volume,PriceChange,VolumeChange
4/16/80,102.629997,104.419998,101.129997,101.540001,101.540001,39730000,-1.062063755,48.96887889
4/17/80,101.540001,102.209999,100.120003,101.050003,101.050003,32770000,-0.482566472,-17.51824818
4/18/80,101.050003,102.07,99.970001,100.550003,100.550003,26880000,-0.494804538,-17.97375648
4/21/80,100.550003,101.260002,98.949997,99.800003,99.800003,27560000,-0.745897541,2.529761905
4/22/80,100.809998,104.019997,100.809998,103.43,103.43,47920000,3.637271434,73.87518142
4/23/80,103.43,105.110001,102.809998,103.730003,103.730003,42620000,0.290054143,-11.06010017
4/24/80,103.730003,105.43,102.93,104.400002,104.400002,35790000,0.645906662,-16.02534022
4/25/80,104.400002,105.57,103.019997,105.160004,105.160004,28590000,0.72797125,-20.11735122
4/28/80,105.160004,106.790001,104.639999,105.639999,105.639999,30600000,0.456442546,7.03043022
4/29/80,105.639999,106.699997,104.860001,105.860001,105.860001,27940000,0.208256344,-8.692810458
4/30/80,105.860001,106.720001,104.5,106.290001,106.290001,30850000,0.40619686,10.41517538
5/1/80,106.290001,106.860001,104.720001,105.459999,105.459999,32480000,-0.780884366,5.28363047
5/2/80,105.459999,106.25,104.610001,105.580002,105.580002,28040000,0.113790064,-13.66995074
5/5/80,105.580002,106.830002,104.639999,106.379997,106.379997,34090000,0.757714515,21.57631954
5/6/80,106.379997,107.830002,105.360001,106.25,106.25,40160000,-0.122200605,17.80580815
5/7/80,106.25,108.120003,105.830002,107.18,107.18,42600000,0.875294118,6.075697211
5/8/80,107.18,108.019997,105.5,106.129997,106.129997,39280000,-0.979663183,-7.79342723
5/9/80,106.129997,106.199997,104.18,104.720001,104.720001,30280000,-1.328555583,-22.91242363
5/12/80,104.720001,105.480003,103.5,104.779999,104.779999,28220000,0.057293735,-6.80317041
5/13/80,104.779999,106.760002,104.440002,106.300003,106.300003,35460000,1.450662354,25.65556343
5/14/80,106.300003,107.889999,106,106.849998,106.849998,40840000,0.517398857,15.17202482
5/15/80,106.849998,107.989998,106.07,106.989998,106.989998,41120000,0.131024804,0.685602351
5/16/80,106.989998,107.889999,106.25,107.349998,107.349998,31710000,0.336480051,-22.88424125
5/19/80,107.349998,108.43,106.510002,107.669998,107.669998,30970000,0.298090364,-2.333648691
5/20/80,107.669998,108.389999,106.75,107.620003,107.620003,31800000,-0.046433548,2.680012916
5/21/80,107.620003,108.309998,106.540001,107.720001,107.720001,34830000,0.092917671,9.528301887
5/22/80,107.720001,109.730003,107.339996,109.010002,109.010002,41040000,1.197550119,17.82945736
5/23/80,109.010002,111.370003,109.010002,110.620003,110.620003,45790000,1.476929612,11.57407407
5/27/80,110.620003,112.300003,110.349998,111.400002,111.400002,40810000,0.705115692,-10.87573706
5/28/80,111.400002,112.720001,110.419998,112.059998,112.059998,38580000,0.592456004,-5.464346974
5/29/80,112.059998,112.639999,109.860001,110.269997,110.269997,42000000,-1.597359479,8.864696734
5/30/80,110.269997,111.550003,108.870003,111.239998,111.239998,34820000,0.87965995,-17.0952381
6/2/80,111.239998,112.150002,110.059998,110.760002,110.760002,32710000,-0.431495873,-6.059735784
6/3/80,110.760002,111.629997,109.769997,110.510002,110.510002,33150000,-0.22571325,1.345154387
6/4/80,110.510002,113.449997,110.220001,112.610001,112.610001,44180000,1.900279578,33.27300151
6/5/80,112.610001,114.379997,111.889999,112.779999,112.779999,49070000,0.150961725,11.06835672
6/6/80,112.779999,114.010002,112.110001,113.199997,113.199997,37230000,0.372404685,-24.1287956
6/9/80,113.199997,114.510002,112.68,113.709999,113.709999,36820000,0.450531814,-1.101262423
6/10/80,113.709999,115.5,113.169998,114.660004,114.660004,42030000,0.835463027,14.14991852
6/11/80,114.660004,116.639999,114.220001,116.019997,116.019997,43800000,1.186109325,4.211277659
6/12/80,116.019997,117.010002,114.279999,115.519997,115.519997,47300000,-0.43096019,7.99086758
6/13/80,115.519997,116.940002,114.669998,115.809998,115.809998,41880000,0.251039653,-11.45877378
6/16/80,115.809998,116.800003,114.779999,116.089996,116.089996,36190000,0.241773599,-13.58643744
6/17/80,116.089996,117.160004,115.129997,116.029999,116.029999,41990000,-0.051681456,16.02652666
6/18/80,116.029999,116.839996,114.769997,116.260002,116.260002,41960000,0.198227184,-0.071445582
